DATES,G2P [MMcf],,,
6/1/2018,898.61,,,
6/2/2018,683.46,,,
6/3/2018,793.77,,,
6/4/2018,804.71,,,
6/5/2018,674.82,,,
6/6/2018,813.53,,,
6/7/2018,855.04,,,
6/8/2018,992.74,,,
6/9/2018,862.95,,,
6/10/2018,803.36,,,
6/11/2018,921.10,,,
6/12/2018,706.40,,,
6/13/2018,838.25,,,
6/14/2018,1032.42,,,
6/15/2018,1044.61,,,
6/16/2018,779.88,,,
6/17/2018,886.00,,,
6/18/2018,1150.00,,,
6/19/2018,1184.47,,,
6/20/2018,1189.31,,,
6/21/2018,1167.22,,,
6/22/2018,1159.49,,,
6/23/2018,1068.00,,,
6/24/2018,1053.25,,,
6/25/2018,1158.59,,,
6/26/2018,1109.10,,,
6/27/2018,1079.46,,,
6/28/2018,1086.62,,,
6/29/2018,1176.63,,,
6/30/2018,1087.19,,,
7/1/2018,1073.16,,,
7/2/2018,1252.36,,,
7/3/2018,1244.54,,,
7/4/2018,1162.10,,,
7/5/2018,1243.35,,,
7/6/2018,1170.25,,,
7/7/2018,1053.69,,,
7/8/2018,964.79,,,
7/9/2018,1011.96,,,
7/10/2018,1085.40,,,
7/11/2018,1253.87,,,
7/12/2018,1297.22,,,
7/13/2018,1304.56,,,
7/14/2018,1137.49,,,
7/15/2018,1132.94,,,
7/16/2018,1224.63,,,
7/17/2018,1259.46,,,
7/18/2018,1278.38,,,
7/19/2018,1270.46,,,
7/20/2018,1196.73,,,
7/21/2018,1121.17,,,
7/22/2018,1153.23,,,
7/23/2018,1208.07,,,
7/24/2018,1156.70,,,
7/25/2018,1229.63,,,
7/26/2018,1197.58,,,
7/27/2018,1233.41,,,
7/28/2018,1140.04,,,
7/29/2018,1145.42,,,
7/30/2018,1210.00,,,
7/31/2018,1208.40,,,
8/1/2018,1136.71,,,
8/2/2018,1091.41,,,
8/3/2018,1052.58,,,
8/4/2018,1068.91,,,
8/5/2018,1097.48,,,
8/6/2018,1110.45,,,
8/7/2018,1189.54,,,
8/8/2018,1206.93,,,
8/9/2018,1072.72,,,
8/10/2018,1126.49,,,
8/11/2018,1060.24,,,
8/12/2018,1087.99,,,
8/13/2018,1110.23,,,
8/14/2018,1151.52,,,
8/15/2018,1176.64,,,
8/16/2018,1168.26,,,
8/17/2018,1141.59,,,
8/18/2018,1056.60,,,
8/19/2018,1023.95,,,
8/20/2018,1061.24,,,
8/21/2018,1039.83,,,
8/22/2018,1044.93,,,
8/23/2018,888.14,,,
8/24/2018,765.03,,,
8/25/2018,841.99,,,
8/26/2018,921.52,,,
8/27/2018,1139.67,,,
8/28/2018,1244.11,,,
