DATES,TEMP [°F]
6/1/2018,78.15
6/2/2018,76.78
6/3/2018,77.31
6/4/2018,73.28
6/5/2018,72.23
6/6/2018,75.16
6/7/2018,76.57
6/8/2018,77.32
6/9/2018,78.08
6/10/2018,80.00
6/11/2018,76.29
6/12/2018,68.74
6/13/2018,78.06
6/14/2018,80.19
6/15/2018,78.38
6/16/2018,80.04
6/17/2018,82.98
6/18/2018,83.89
6/19/2018,85.17
6/20/2018,82.29
6/21/2018,81.18
6/22/2018,81.39
6/23/2018,80.72
6/24/2018,82.80
6/25/2018,79.83
6/26/2018,74.18
6/27/2018,77.53
6/28/2018,81.66
6/29/2018,81.18
6/30/2018,83.16
7/1/2018,83.91
7/2/2018,83.36
7/3/2018,84.10
7/4/2018,82.63
7/5/2018,82.30
7/6/2018,81.72
7/7/2018,72.43
7/8/2018,72.01
7/9/2018,76.78
7/10/2018,80.47
7/11/2018,84.04
7/12/2018,81.12
7/13/2018,77.51
7/14/2018,78.91
7/15/2018,81.92
7/16/2018,81.86
7/17/2018,81.58
7/18/2018,79.18
7/19/2018,78.94
7/20/2018,77.04
7/21/2018,78.40
7/22/2018,75.97
7/23/2018,76.44
7/24/2018,76.07
7/25/2018,74.83
7/26/2018,81.36
7/27/2018,81.59
7/28/2018,81.19
7/29/2018,79.86
7/30/2018,78.45
7/31/2018,77.26
8/1/2018,79.44
8/2/2018,76.98
8/3/2018,77.04
8/4/2018,78.85
8/5/2018,82.54
8/6/2018,80.94
8/7/2018,82.27
8/8/2018,81.37
8/9/2018,80.47
8/10/2018,81.22
8/11/2018,78.93
8/12/2018,79.82
8/13/2018,77.71
8/14/2018,78.78
8/15/2018,80.28
8/16/2018,82.17
8/17/2018,81.89
8/18/2018,79.21
8/19/2018,79.13
8/20/2018,79.24
8/21/2018,77.10
8/22/2018,75.34
8/23/2018,68.96
8/24/2018,71.74
8/25/2018,75.12
8/26/2018,79.36
8/27/2018,80.51
8/28/2018,82.53
8/29/2018,82.41
8/30/2018,81.75
8/31/2018,80.67
9/1/2018,80.37
9/2/2018,79.93
9/3/2018,81.93
9/4/2018,81.59
9/5/2018,81.22
9/6/2018,81.68
9/7/2018,80.89
9/8/2018,78.80
9/9/2018,73.65
9/10/2018,74.78
9/11/2018,80.33
9/12/2018,78.98
9/13/2018,79.16
9/14/2018,76.62
9/15/2018,74.15
9/16/2018,73.50
9/17/2018,79.66
9/18/2018,76.73
9/19/2018,78.99
9/20/2018,79.45
9/21/2018,77.23
9/22/2018,77.39
9/23/2018,71.48
9/24/2018,69.38
9/25/2018,75.12
9/26/2018,78.78
9/27/2018,75.48
9/28/2018,74.70
9/29/2018,73.76
9/30/2018,72.23
10/1/2018,72.69
10/2/2018,74.30
10/3/2018,77.30
10/4/2018,79.01
10/5/2018,81.03
10/6/2018,76.65
10/7/2018,78.20
10/8/2018,77.37
10/9/2018,75.92
10/10/2018,75.33
10/11/2018,66.12
10/12/2018,63.01
10/13/2018,61.09
10/14/2018,60.86
10/15/2018,70.88
10/16/2018,71.69
10/17/2018,62.54
10/18/2018,54.29
10/19/2018,59.75
10/20/2018,57.20
10/21/2018,48.16
10/22/2018,53.10
10/23/2018,57.54
10/24/2018,52.39
10/25/2018,50.18
10/26/2018,48.33
10/27/2018,52.79
10/28/2018,55.32
10/29/2018,52.87
10/30/2018,54.06
10/31/2018,61.58
11/1/2018,67.78
11/2/2018,56.60
11/3/2018,51.10
11/4/2018,54.76
11/5/2018,60.61
11/6/2018,60.66
11/7/2018,63.32
11/8/2018,57.02
11/9/2018,47.87
11/10/2018,41.43
11/11/2018,42.40
11/12/2018,44.46
11/13/2018,49.42
11/14/2018,42.02
11/15/2018,39.23
11/16/2018,44.03
11/17/2018,47.59
11/18/2018,50.35
11/19/2018,52.81
11/20/2018,47.03
11/21/2018,46.29
11/22/2018,43.66
11/23/2018,38.03
11/24/2018,42.23
11/25/2018,49.24
11/26/2018,45.71
11/27/2018,35.59
11/28/2018,34.63
11/29/2018,41.15
11/30/2018,56.25
12/1/2018,53.46
12/2/2018,58.41
12/3/2018,52.68
12/4/2018,44.29
12/5/2018,36.55
12/6/2018,37.27
12/7/2018,40.97
12/8/2018,37.67
12/9/2018,34.45
12/10/2018,34.05
12/11/2018,36.59
12/12/2018,38.45
12/13/2018,43.23
12/14/2018,44.80
12/15/2018,47.89
12/16/2018,49.29
12/17/2018,49.87
12/18/2018,44.12
12/19/2018,44.25
12/20/2018,54.92
12/21/2018,49.58
12/22/2018,40.64
12/23/2018,43.39
12/24/2018,39.83
12/25/2018,40.06
12/26/2018,43.68
12/27/2018,43.00
12/28/2018,51.43
12/29/2018,55.73
12/30/2018,53.12
12/31/2018,59.89
1/1/2019,58.37
1/2/2019,50.86
1/3/2019,52.75
1/4/2019,52.35
1/5/2019,51.08
1/6/2019,54.10
1/7/2019,49.58
1/8/2019,54.09
1/9/2019,41.09
1/10/2019,32.85
1/11/2019,35.82
1/12/2019,36.61
1/13/2019,35.64
1/14/2019,37.25
1/15/2019,37.13
1/16/2019,41.44
1/17/2019,39.77
1/18/2019,47.17
1/19/2019,52.09
1/20/2019,35.71
1/21/2019,26.26
1/22/2019,31.49
1/23/2019,49.48
1/24/2019,45.57
1/25/2019,36.19
1/26/2019,37.53
1/27/2019,39.35
1/28/2019,43.71
1/29/2019,36.56
1/30/2019,32.76
1/31/2019,31.55
2/1/2019,41.62
2/2/2019,46.43
2/3/2019,50.18
2/4/2019,53.00
2/5/2019,60.90
2/6/2019,61.61
2/7/2019,70.57
2/8/2019,54.10
2/9/2019,40.62
2/10/2019,38.17
2/11/2019,45.27
2/12/2019,43.95
2/13/2019,44.64
2/14/2019,48.51
2/15/2019,57.61
2/16/2019,45.22
2/17/2019,40.61
2/18/2019,49.75
2/19/2019,38.68
2/20/2019,39.67
2/21/2019,53.60
2/22/2019,46.00
2/23/2019,43.03
2/24/2019,53.31
2/25/2019,47.66
2/26/2019,50.41
2/27/2019,50.11
2/28/2019,55.43
3/1/2019,47.08
3/2/2019,50.08
3/3/2019,46.11
3/4/2019,39.86
3/5/2019,36.47
3/6/2019,36.35
3/7/2019,41.45
3/8/2019,44.76
3/9/2019,44.82
3/10/2019,55.06
3/11/2019,53.62
3/12/2019,47.65
3/13/2019,54.34
3/14/2019,63.62
3/15/2019,56.73
3/16/2019,46.41
3/17/2019,47.60
3/18/2019,47.28
3/19/2019,43.81
3/20/2019,49.46
3/21/2019,50.67
3/22/2019,50.45
3/23/2019,49.73
3/24/2019,59.11
3/25/2019,60.40
3/26/2019,46.58
3/27/2019,45.69
3/28/2019,53.51
3/29/2019,62.20
3/30/2019,66.14
3/31/2019,49.65
4/1/2019,45.10
4/2/2019,42.17
4/3/2019,58.47
4/4/2019,63.56
4/5/2019,57.18
4/6/2019,62.99
4/7/2019,64.07
4/8/2019,71.63
4/9/2019,65.65
4/10/2019,65.57
4/11/2019,69.49
4/12/2019,69.74
4/13/2019,66.81
4/14/2019,65.94
4/15/2019,54.01
4/16/2019,59.50
4/17/2019,69.52
4/18/2019,72.28
4/19/2019,63.26
4/20/2019,51.73
4/21/2019,55.71
4/22/2019,63.63
4/23/2019,70.43
4/24/2019,73.19
4/25/2019,72.82
4/26/2019,61.02
4/27/2019,66.58
4/28/2019,69.57
4/29/2019,62.15
4/30/2019,72.79
5/1/2019,73.39
5/2/2019,72.79
5/3/2019,74.48
5/4/2019,74.71
5/5/2019,69.59
5/6/2019,69.33
5/7/2019,70.94
5/8/2019,71.84
5/9/2019,71.96
5/10/2019,71.61
5/11/2019,70.68
5/12/2019,69.98
5/13/2019,61.97
5/14/2019,58.27
5/15/2019,62.22
5/16/2019,68.98
5/17/2019,75.61
5/18/2019,79.48
5/19/2019,78.25
5/20/2019,75.34
5/21/2019,75.58
5/22/2019,71.97
5/23/2019,76.78
5/24/2019,81.47
5/25/2019,81.23
5/26/2019,81.15
5/27/2019,80.50
5/28/2019,82.80
5/29/2019,81.61
5/30/2019,82.19
5/31/2019,73.57
6/1/2019,73.37
6/2/2019,74.98
6/3/2019,72.62
6/4/2019,75.03
6/5/2019,76.35
6/6/2019,77.87
6/7/2019,73.40
6/8/2019,76.91
6/9/2019,72.81
6/10/2019,76.29
6/11/2019,71.61
6/12/2019,66.41
6/13/2019,67.59
6/14/2019,66.92
6/15/2019,73.30
6/16/2019,80.06
6/17/2019,81.11
6/18/2019,78.74
6/19/2019,78.55
6/20/2019,78.84
6/21/2019,77.36
6/22/2019,76.17
6/23/2019,75.40
6/24/2019,80.51
6/25/2019,78.68
6/26/2019,78.88
6/27/2019,80.39
6/28/2019,80.31
6/29/2019,81.17
6/30/2019,82.63
7/1/2019,80.68
7/2/2019,82.72
7/3/2019,84.06
7/4/2019,81.63
7/5/2019,80.46
7/6/2019,81.27
7/7/2019,82.23
7/8/2019,83.10
7/9/2019,77.32
7/10/2019,81.52
7/11/2019,81.82
7/12/2019,82.25
7/13/2019,83.11
7/14/2019,83.53
7/15/2019,83.79
7/16/2019,84.79
7/17/2019,85.40
7/18/2019,83.91
7/19/2019,84.69
7/20/2019,83.77
7/21/2019,84.30
7/22/2019,81.81
7/23/2019,71.81
7/24/2019,73.16
7/25/2019,75.22
7/26/2019,75.20
7/27/2019,77.03
7/28/2019,78.32
7/29/2019,79.27
7/30/2019,81.27
7/31/2019,79.10
8/1/2019,78.65
8/2/2019,77.31
8/3/2019,78.77
8/4/2019,79.57
8/5/2019,77.86
8/6/2019,81.42
8/7/2019,79.84
8/8/2019,80.53
8/9/2019,83.41
8/10/2019,80.59
8/11/2019,80.53
8/12/2019,81.40
8/13/2019,82.94
8/14/2019,81.04
8/15/2019,80.66
8/16/2019,81.41
8/17/2019,80.10
8/18/2019,82.60
8/19/2019,82.98
8/20/2019,79.33
8/21/2019,81.19
8/22/2019,81.91
8/23/2019,78.76
8/24/2019,66.31
8/25/2019,70.00
8/26/2019,73.26
8/27/2019,72.97
8/28/2019,76.36
8/29/2019,72.77
8/30/2019,75.91
8/31/2019,77.24
9/1/2019,76.52
9/2/2019,79.31
9/3/2019,79.91
9/4/2019,81.10
9/5/2019,76.63
9/6/2019,78.17
9/7/2019,79.11
9/8/2019,80.50
9/9/2019,82.11
9/10/2019,81.29
9/11/2019,81.57
9/12/2019,84.43
9/13/2019,79.14
9/14/2019,76.38
9/15/2019,78.56
9/16/2019,80.79
9/17/2019,79.22
9/18/2019,68.21
9/19/2019,64.86
9/20/2019,69.16
9/21/2019,74.37
9/22/2019,75.22
9/23/2019,78.34
9/24/2019,74.26
9/25/2019,76.40
9/26/2019,80.33
9/27/2019,79.59
9/28/2019,79.76
9/29/2019,83.33
9/30/2019,77.86
10/1/2019,79.96
10/2/2019,82.53
10/3/2019,82.14
10/4/2019,80.18
10/5/2019,63.00
10/6/2019,70.54
10/7/2019,73.67
10/8/2019,64.59
10/9/2019,66.05
10/10/2019,63.41
10/11/2019,68.17
10/12/2019,71.14
10/13/2019,64.11
10/14/2019,63.45
10/15/2019,65.44
10/16/2019,57.58
10/17/2019,53.65
10/18/2019,55.67
10/19/2019,57.79
10/20/2019,63.48
10/21/2019,64.85
10/22/2019,61.48
10/23/2019,55.75
10/24/2019,60.11
10/25/2019,63.69
10/26/2019,69.80
10/27/2019,69.32
10/28/2019,68.04
10/29/2019,65.96
10/30/2019,68.62
10/31/2019,60.11
11/1/2019,49.19
11/2/2019,49.56
11/3/2019,49.27
11/4/2019,53.14
11/5/2019,60.16
11/6/2019,55.14
11/7/2019,57.60
11/8/2019,39.56
11/9/2019,40.92
11/10/2019,50.53
11/11/2019,56.07
11/12/2019,39.19
11/13/2019,33.42
11/14/2019,37.95
11/15/2019,46.16
11/16/2019,45.65
11/17/2019,48.66
11/18/2019,43.93
11/19/2019,47.02
11/20/2019,48.02
11/21/2019,48.38
11/22/2019,57.15
11/23/2019,49.12
11/24/2019,44.10
11/25/2019,47.60
11/26/2019,51.76
11/27/2019,54.65
11/28/2019,50.87
11/29/2019,48.05
11/30/2019,50.73
12/1/2019,51.91
12/2/2019,41.75
12/3/2019,42.96
12/4/2019,46.91
12/5/2019,45.94
12/6/2019,46.16
12/7/2019,44.69
12/8/2019,41.71
12/9/2019,49.68
12/10/2019,53.40
12/11/2019,38.13
12/12/2019,39.46
12/13/2019,42.11
12/14/2019,45.76
12/15/2019,48.18
12/16/2019,54.77
12/17/2019,48.57
12/18/2019,37.90
12/19/2019,35.09
12/20/2019,42.51
12/21/2019,39.59
12/22/2019,41.97
12/23/2019,49.79
12/24/2019,52.07
12/25/2019,46.02
12/26/2019,49.07
12/27/2019,53.45
12/28/2019,57.24
12/29/2019,64.02
12/30/2019,54.66
12/31/2019,46.60
1/1/2020,45.10
1/2/2020,46.73
1/3/2020,53.71
1/4/2020,49.09
