Exchange Date,Close
30-Sep-2020,2.527
29-Sep-2020,2.561
28-Sep-2020,2.101
25-Sep-2020,2.139
24-Sep-2020,2.248
23-Sep-2020,2.125
22-Sep-2020,1.834
21-Sep-2020,1.835
18-Sep-2020,2.048
17-Sep-2020,2.042
16-Sep-2020,2.267
15-Sep-2020,2.362
14-Sep-2020,2.310
11-Sep-2020,2.269
10-Sep-2020,2.323
09-Sep-2020,2.406
08-Sep-2020,2.400
04-Sep-2020,2.588
03-Sep-2020,2.487
02-Sep-2020,2.486
01-Sep-2020,2.527
31-Aug-2020,2.630
28-Aug-2020,2.657
27-Aug-2020,2.579
26-Aug-2020,2.461
25-Aug-2020,2.489
24-Aug-2020,2.513
21-Aug-2020,2.448
20-Aug-2020,2.352
19-Aug-2020,2.426
18-Aug-2020,2.417
17-Aug-2020,2.339
14-Aug-2020,2.356
13-Aug-2020,2.182
12-Aug-2020,2.152
11-Aug-2020,2.171
10-Aug-2020,2.153
07-Aug-2020,2.238
06-Aug-2020,2.165
05-Aug-2020,2.191
04-Aug-2020,2.193
03-Aug-2020,2.101
31-Jul-2020,1.799
30-Jul-2020,1.829
29-Jul-2020,1.854
28-Jul-2020,1.800
27-Jul-2020,1.734
24-Jul-2020,1.808
23-Jul-2020,1.785
22-Jul-2020,1.681
21-Jul-2020,1.675
20-Jul-2020,1.641
17-Jul-2020,1.718
16-Jul-2020,1.723
15-Jul-2020,1.778
14-Jul-2020,1.746
13-Jul-2020,1.739
10-Jul-2020,1.805
09-Jul-2020,1.779
08-Jul-2020,1.824
07-Jul-2020,1.876
06-Jul-2020,1.830
02-Jul-2020,1.734
01-Jul-2020,1.671
30-Jun-2020,1.751
29-Jun-2020,1.709
26-Jun-2020,1.495
25-Jun-2020,1.482
24-Jun-2020,1.597
23-Jun-2020,1.637
22-Jun-2020,1.664
19-Jun-2020,1.669
18-Jun-2020,1.638
17-Jun-2020,1.638
16-Jun-2020,1.614
15-Jun-2020,1.669
12-Jun-2020,1.731
11-Jun-2020,1.813
10-Jun-2020,1.780
09-Jun-2020,1.767
08-Jun-2020,1.789
05-Jun-2020,1.782
04-Jun-2020,1.822
03-Jun-2020,1.821
02-Jun-2020,1.777
01-Jun-2020,1.774
29-May-2020,1.849
28-May-2020,1.827
27-May-2020,1.722
26-May-2020,1.793
22-May-2020,1.731
21-May-2020,1.710
20-May-2020,1.771
19-May-2020,1.830
18-May-2020,1.783
15-May-2020,1.646
14-May-2020,1.681
13-May-2020,1.616
12-May-2020,1.720
11-May-2020,1.826
08-May-2020,1.823
07-May-2020,1.894
06-May-2020,1.944
05-May-2020,2.134
04-May-2020,1.993
01-May-2020,1.890
30-Apr-2020,1.949
29-Apr-2020,1.869
28-Apr-2020,1.794
